week_start,campus_id,channel_id,channel_name,impressions,leads,applications,kyc_started,approved_accounts,funded_accounts,activated_users,spend,support_tickets,kyc_rework_cases
2026-06-15,CMP006,creator_content,Creator content,624,36,8,5,2,1,0,1230.71,0,0
2026-06-15,CMP006,paid_social,Paid social,696,34,7,6,2,0,0,1655.37,0,2
2026-06-15,CMP006,search_content,Search and explainer content,388,29,4,3,1,0,0,964.18,3,0
2026-06-15,CMP007,campus_ambassador,Campus ambassadors,857,80,14,11,5,2,1,1644.63,0,0
2026-06-15,CMP007,partner_webinar,Partner webinars,1649,223,39,33,14,7,4,6791.69,1,2
2026-06-15,CMP007,referral,Student referral loops,1537,165,40,31,15,6,3,2392.37,0,0
2026-06-15,CMP007,creator_content,Creator content,1009,65,15,11,5,2,1,1841.52,0,0
2026-06-15,CMP007,paid_social,Paid social,936,51,7,5,2,1,0,2213.79,3,0
2026-06-15,CMP007,search_content,Search and explainer content,1444,123,26,20,10,3,1,2426.79,3,1
2026-06-15,CMP008,campus_ambassador,Campus ambassadors,593,52,11,8,4,1,0,1407.69,6,0
2026-06-15,CMP008,partner_webinar,Partner webinars,1917,243,80,61,30,16,11,7704.15,12,0
2026-06-15,CMP008,referral,Student referral loops,1085,109,36,31,17,8,5,2470.49,5,0
2026-06-15,CMP008,creator_content,Creator content,1348,82,26,19,10,6,2,2626.57,6,0
2026-06-15,CMP008,paid_social,Paid social,1586,82,17,12,6,2,1,4608.43,2,0
2026-06-15,CMP008,search_content,Search and explainer content,1065,85,24,18,8,4,2,2043.55,0,0
2026-06-15,CMP009,campus_ambassador,Campus ambassadors,746,63,12,10,4,1,0,1124.35,0,0
2026-06-15,CMP009,partner_webinar,Partner webinars,581,70,10,7,4,1,0,1719.15,0,0
2026-06-15,CMP009,referral,Student referral loops,405,39,4,3,1,0,0,515.95,0,2
2026-06-15,CMP009,creator_content,Creator content,914,53,8,6,3,0,0,1648.42,3,0
2026-06-15,CMP009,paid_social,Paid social,305,15,2,1,0,0,0,575.87,0,2
2026-06-15,CMP009,search_content,Search and explainer content,481,36,5,3,1,0,0,1070.81,5,1
2026-06-15,CMP010,campus_ambassador,Campus ambassadors,310,27,8,6,2,1,0,678.05,0,0
2026-06-15,CMP010,partner_webinar,Partner webinars,306,38,10,8,3,1,0,1225.74,0,0
2026-06-15,CMP010,referral,Student referral loops,510,50,14,11,5,2,1,1018.77,0,0
2026-06-15,CMP010,creator_content,Creator content,291,17,3,2,0,0,0,669.52,0,0
2026-06-15,CMP010,paid_social,Paid social,257,13,3,2,1,0,0,578.26,5,2
2026-06-15,CMP010,search_content,Search and explainer content,258,20,4,3,1,0,0,621.34,1,1
2026-06-15,CMP011,campus_ambassador,Campus ambassadors,715,63,20,16,8,3,1,1553.78,0,0
2026-06-15,CMP011,partner_webinar,Partner webinars,898,114,43,32,20,9,6,3261.13,3,0
2026-06-15,CMP011,referral,Student referral loops,889,90,31,23,12,6,4,1763.14,0,0
2026-06-15,CMP011,creator_content,Creator content,902,55,18,13,7,3,1,1524.23,3,0
2026-06-15,CMP011,paid_social,Paid social,891,46,11,8,4,2,0,2192.44,0,3
2026-06-15,CMP011,search_content,Search and explainer content,1129,90,36,29,18,7,4,2359.7,0,0
2026-06-15,CMP012,campus_ambassador,Campus ambassadors,670,55,12,9,5,2,1,1377.68,1,0
2026-06-15,CMP012,partner_webinar,Partner webinars,765,90,16,13,7,3,1,3390.14,0,3
2026-06-15,CMP012,referral,Student referral loops,351,33,10,7,4,1,0,477.87,0,1
2026-06-15,CMP012,creator_content,Creator content,713,40,8,6,4,1,0,1284.8,0,0
2026-06-15,CMP012,paid_social,Paid social,337,16,3,2,1,0,0,608.44,3,4
2026-06-15,CMP012,search_content,Search and explainer content,768,57,17,13,9,4,2,1207.81,0,0
2026-06-15,CMP013,campus_ambassador,Campus ambassadors,230,23,8,6,3,1,0,610.79,2,1
2026-06-15,CMP013,partner_webinar,Partner webinars,356,51,13,10,6,3,1,1561.2,0,0
2026-06-15,CMP013,referral,Student referral loops,273,31,10,8,3,1,0,489.3,1,3
2026-06-15,CMP013,creator_content,Creator content,604,41,13,9,5,3,1,1178.22,0,4
2026-06-15,CMP013,paid_social,Paid social,378,22,8,6,3,1,0,867.62,4,2
2026-06-15,CMP013,search_content,Search and explainer content,488,44,17,13,7,3,1,1400.58,8,0
2026-06-15,CMP014,campus_ambassador,Campus ambassadors,2101,194,59,51,34,20,11,4163.28,0,0
2026-06-15,CMP014,partner_webinar,Partner webinars,933,124,31,24,16,9,5,4461.48,0,3
2026-06-15,CMP014,referral,Student referral loops,994,105,22,17,9,4,2,2067.93,0,0
2026-06-15,CMP014,creator_content,Creator content,1577,101,20,16,8,5,2,3826.18,0,0
2026-06-15,CMP014,paid_social,Paid social,1067,57,11,8,4,2,0,3234.79,0,4
2026-06-15,CMP014,search_content,Search and explainer content,826,69,14,11,6,3,1,2048.41,6,0
2026-06-15,CMP015,campus_ambassador,Campus ambassadors,782,64,13,9,5,2,1,996.47,3,1
2026-06-15,CMP015,partner_webinar,Partner webinars,950,113,27,22,13,7,4,3347.32,5,1
2026-06-15,CMP015,referral,Student referral loops,587,55,12,10,4,2,1,932.65,0,0
2026-06-15,CMP015,creator_content,Creator content,664,38,6,5,2,1,0,934.2,2,3
2026-06-15,CMP015,paid_social,Paid social,521,25,4,3,1,0,0,961.86,0,0
2026-06-15,CMP015,search_content,Search and explainer content,420,31,4,3,1,0,0,636.58,0,0
2026-06-15,CMP016,campus_ambassador,Campus ambassadors,761,68,16,14,5,2,1,1459.92,0,0
2026-06-15,CMP016,partner_webinar,Partner webinars,450,58,10,8,3,1,0,2326.6,0,5
2026-06-15,CMP016,referral,Student referral loops,524,53,14,11,4,1,0,1005.46,4,0
2026-06-15,CMP016,creator_content,Creator content,512,31,6,5,2,0,0,1033.01,0,0
2026-06-15,CMP016,paid_social,Paid social,436,22,3,2,1,0,0,821.91,1,1
2026-06-15,CMP016,search_content,Search and explainer content,447,36,7,5,2,0,0,895.09,0,6
2026-06-15,CMP017,campus_ambassador,Campus ambassadors,1670,153,32,23,15,6,3,3036.37,0,3
2026-06-15,CMP017,partner_webinar,Partner webinars,1844,243,74,58,38,19,13,7729.77,3,4
2026-06-15,CMP017,referral,Student referral loops,705,74,15,12,8,3,1,1429.89,0,6
2026-06-15,CMP017,creator_content,Creator content,689,43,9,7,4,2,1,987.2,1,0
2026-06-15,CMP017,paid_social,Paid social,770,41,13,11,6,2,0,1838.23,1,1
2026-06-15,CMP017,search_content,Search and explainer content,1268,105,20,16,9,4,2,2891.19,0,0
2026-06-15,CMP018,campus_ambassador,Campus ambassadors,178,16,3,2,1,0,0,264.84,0,0
2026-06-15,CMP018,partner_webinar,Partner webinars,209,27,5,3,1,0,0,871.03,0,0
2026-06-15,CMP018,referral,Student referral loops,519,54,12,9,4,1,0,711.16,0,1
2026-06-15,CMP018,creator_content,Creator content,326,20,3,2,1,0,0,419.99,3,0
2026-06-15,CMP018,paid_social,Paid social,344,18,3,2,1,0,0,543.95,0,0
2026-06-15,CMP018,search_content,Search and explainer content,400,32,6,4,2,0,0,557.25,5,0
2026-06-15,CMP019,campus_ambassador,Campus ambassadors,1081,99,25,18,11,5,2,1837.53,3,0
2026-06-15,CMP019,partner_webinar,Partner webinars,1446,190,33,27,15,5,3,4073.91,2,0
2026-06-15,CMP019,referral,Student referral loops,1515,159,34,28,16,6,4,1880.14,0,2
2026-06-15,CMP019,creator_content,Creator content,915,58,15,11,6,2,0,1332.93,0,0
2026-06-15,CMP019,paid_social,Paid social,639,34,7,5,3,1,0,1126.63,0,1
2026-06-15,CMP019,search_content,Search and explainer content,945,78,12,9,5,2,1,1735.67,3,6
2026-06-15,CMP020,campus_ambassador,Campus ambassadors,634,60,14,10,5,2,1,1022.41,3,0
2026-06-15,CMP020,partner_webinar,Partner webinars,745,101,19,14,7,4,2,2279.42,0,0
2026-06-15,CMP020,referral,Student referral loops,683,74,18,14,7,4,2,1018.81,0,0
2026-06-15,CMP020,creator_content,Creator content,748,49,11,9,4,2,1,1341.16,0,0
2026-06-15,CMP020,paid_social,Paid social,986,54,13,10,5,3,1,1558.12,0,0
2026-06-15,CMP020,search_content,Search and explainer content,1487,127,35,27,13,8,4,3258.65,5,1
2026-06-15,CMP021,campus_ambassador,Campus ambassadors,748,59,17,13,6,2,1,1411.33,0,0
2026-06-15,CMP021,partner_webinar,Partner webinars,485,55,13,9,5,2,1,1383.69,0,4
2026-06-15,CMP021,referral,Student referral loops,661,59,16,13,7,2,1,1228.25,0,3
2026-06-15,CMP021,creator_content,Creator content,912,49,11,8,3,1,0,1270.53,9,0
2026-06-15,CMP021,paid_social,Paid social,656,30,7,5,2,0,0,1659.04,0,0
2026-06-15,CMP021,search_content,Search and explainer content,764,54,14,10,4,1,0,1306.64,3,3
2026-06-15,CMP022,campus_ambassador,Campus ambassadors,790,69,11,8,4,1,0,1185.24,1,0
2026-06-15,CMP022,partner_webinar,Partner webinars,922,116,14,10,6,2,1,2774.24,0,2
2026-06-15,CMP022,referral,Student referral loops,1148,115,20,16,8,3,2,1696.28,5,0
2026-06-15,CMP022,creator_content,Creator content,673,40,5,4,2,0,0,1043.21,3,3
2026-06-15,CMP022,paid_social,Paid social,516,26,2,1,0,0,0,719.01,0,0
2026-06-15,CMP022,search_content,Search and explainer content,838,66,9,6,3,1,0,1361.55,0,0
2026-06-15,CMP023,campus_ambassador,Campus ambassadors,851,82,26,18,10,5,2,1955.96,2,0
2026-06-15,CMP023,partner_webinar,Partner webinars,328,45,14,10,5,2,1,1489.95,8,1
2026-06-15,CMP023,referral,Student referral loops,720,79,21,18,11,5,3,1565.0,0,0
2026-06-15,CMP023,creator_content,Creator content,573,38,8,6,3,1,0,845.46,0,0
2026-06-15,CMP023,paid_social,Paid social,583,33,8,6,3,1,0,1540.65,0,0
2026-06-15,CMP023,search_content,Search and explainer content,727,63,16,13,6,3,1,1411.65,0,5
2026-06-15,CMP024,campus_ambassador,Campus ambassadors,868,78,22,17,8,3,1,1903.29,3,0
2026-06-15,CMP024,partner_webinar,Partner webinars,927,121,33,23,12,4,2,5051.01,3,0
2026-06-15,CMP024,referral,Student referral loops,1406,146,27,23,13,5,3,3010.94,0,4
2026-06-15,CMP024,creator_content,Creator content,707,44,8,6,3,1,0,1030.44,4,1
2026-06-15,CMP024,paid_social,Paid social,979,52,12,9,4,1,0,2345.93,7,5
2026-06-15,CMP024,search_content,Search and explainer content,720,59,14,11,5,2,1,1218.83,0,0
2026-06-15,CMP025,campus_ambassador,Campus ambassadors,1003,96,27,20,9,5,3,1945.48,0,0
2026-06-15,CMP025,partner_webinar,Partner webinars,584,80,26,20,9,4,2,3422.36,0,0
2026-06-15,CMP025,referral,Student referral loops,745,81,20,14,7,3,2,1789.57,0,4
2026-06-15,CMP025,creator_content,Creator content,731,48,16,12,6,3,1,1464.5,0,5
2026-06-15,CMP025,paid_social,Paid social,613,34,9,7,3,1,0,2004.97,0,2
2026-06-15,CMP025,search_content,Search and explainer content,518,45,13,9,4,2,1,1232.94,9,0
2026-06-15,CMP026,campus_ambassador,Campus ambassadors,1766,145,35,30,12,5,3,2589.11,0,0
2026-06-15,CMP026,partner_webinar,Partner webinars,2109,251,52,40,17,7,4,7423.55,0,0
2026-06-15,CMP026,referral,Student referral loops,1218,115,22,18,9,5,3,1957.35,1,0
2026-06-15,CMP026,creator_content,Creator content,1620,92,19,16,7,3,1,2997.14,4,0
2026-06-15,CMP026,paid_social,Paid social,1328,64,14,10,4,1,0,2497.5,5,0
2026-06-15,CMP026,search_content,Search and explainer content,2024,151,23,17,9,4,2,3333.42,0,1
2026-06-15,CMP027,campus_ambassador,Campus ambassadors,709,59,15,12,5,2,1,1206.02,0,2
2026-06-15,CMP027,partner_webinar,Partner webinars,537,64,15,12,5,2,1,1730.28,0,0
2026-06-15,CMP027,referral,Student referral loops,756,72,21,17,9,4,2,888.22,3,1
2026-06-15,CMP027,creator_content,Creator content,957,55,17,14,6,2,1,1365.95,6,0
2026-06-15,CMP027,paid_social,Paid social,663,32,8,6,3,1,0,1119.47,0,0
2026-06-15,CMP027,search_content,Search and explainer content,714,54,17,14,6,2,1,1080.47,0,0
2026-06-15,CMP028,campus_ambassador,Campus ambassadors,328,26,9,7,4,1,0,464.44,1,3
2026-06-15,CMP028,partner_webinar,Partner webinars,480,55,13,10,6,2,1,2202.8,0,0
2026-06-15,CMP028,referral,Student referral loops,358,32,7,5,3,1,0,512.89,0,2
2026-06-15,CMP028,creator_content,Creator content,505,27,6,4,2,0,0,773.09,0,0
2026-06-15,CMP028,paid_social,Paid social,206,9,3,2,1,0,0,393.68,6,0
2026-06-15,CMP028,search_content,Search and explainer content,191,13,3,2,1,0,0,339.8,2,0
2026-06-15,CMP029,campus_ambassador,Campus ambassadors,1559,142,48,40,19,7,4,3730.09,2,6
2026-06-15,CMP029,partner_webinar,Partner webinars,1291,169,65,49,25,12,8,5068.47,0,7
2026-06-15,CMP029,referral,Student referral loops,1369,143,37,28,14,6,4,2959.15,9,1
2026-06-15,CMP029,creator_content,Creator content,1823,115,28,23,12,4,1,3287.9,4,2
2026-06-15,CMP029,paid_social,Paid social,1620,86,32,27,16,8,3,3263.86,2,1
2026-06-15,CMP029,search_content,Search and explainer content,1942,160,52,43,20,10,6,4101.87,2,4
2026-06-15,CMP030,campus_ambassador,Campus ambassadors,625,55,12,10,4,1,0,1820.72,2,2
2026-06-15,CMP030,partner_webinar,Partner webinars,219,27,4,2,1,0,0,1058.65,6,0
2026-06-15,CMP030,referral,Student referral loops,601,61,11,8,3,1,0,1659.97,0,5
2026-06-15,CMP030,creator_content,Creator content,521,32,7,5,2,1,0,1123.09,7,0
2026-06-15,CMP030,paid_social,Paid social,619,32,8,5,2,1,0,2264.2,2,0
2026-06-15,CMP030,search_content,Search and explainer content,507,40,8,6,3,1,0,1294.13,0,0
2026-06-15,CMP031,campus_ambassador,Campus ambassadors,1316,122,36,29,19,9,5,2682.62,3,2
2026-06-15,CMP031,partner_webinar,Partner webinars,931,124,36,29,17,8,5,3775.94,0,0
2026-06-15,CMP031,referral,Student referral loops,1280,136,39,29,19,10,7,2109.12,3,0
2026-06-15,CMP031,creator_content,Creator content,1009,64,13,10,5,3,1,1533.32,0,3
2026-06-15,CMP031,paid_social,Paid social,667,36,10,8,4,1,0,1163.11,0,0
2026-06-15,CMP031,search_content,Search and explainer content,1103,92,26,21,12,7,4,2413.51,2,0
2026-06-15,CMP032,campus_ambassador,Campus ambassadors,806,78,20,14,8,4,2,1699.46,0,0
2026-06-15,CMP032,partner_webinar,Partner webinars,751,105,26,22,11,6,4,2264.21,1,0
2026-06-15,CMP032,referral,Student referral loops,868,97,21,16,7,3,2,1453.51,2,0
2026-06-15,CMP032,creator_content,Creator content,1573,106,34,27,14,8,4,2796.63,0,3
2026-06-15,CMP032,paid_social,Paid social,1023,58,14,10,5,2,0,2207.34,0,0
2026-06-15,CMP032,search_content,Search and explainer content,1159,102,24,19,11,6,3,2720.04,3,0
2026-06-22,CMP001,campus_ambassador,Campus ambassadors,475,43,11,8,4,1,0,651.09,2,4
2026-06-22,CMP001,partner_webinar,Partner webinars,528,69,16,13,8,3,1,2121.89,0,3
2026-06-22,CMP001,referral,Student referral loops,864,91,23,19,11,5,3,1525.48,5,1
2026-06-22,CMP001,creator_content,Creator content,1366,87,19,14,6,2,0,2491.6,5,1
2026-06-22,CMP001,paid_social,Paid social,1341,72,14,11,5,1,0,3447.46,8,0
2026-06-22,CMP001,search_content,Search and explainer content,794,66,16,12,5,2,1,1585.18,0,2
2026-06-22,CMP002,campus_ambassador,Campus ambassadors,2012,184,37,28,16,7,4,3193.47,3,0
2026-06-22,CMP002,partner_webinar,Partner webinars,1705,224,54,45,27,11,7,6657.56,3,0
2026-06-22,CMP002,referral,Student referral loops,1321,138,27,22,12,4,2,2308.76,1,0
2026-06-22,CMP002,creator_content,Creator content,1506,95,18,15,9,3,1,2814.27,0,1
2026-06-22,CMP002,paid_social,Paid social,981,52,13,10,6,2,0,1910.87,0,1
2026-06-22,CMP002,search_content,Search and explainer content,1640,136,27,20,11,4,2,3084.94,0,0
2026-06-22,CMP003,campus_ambassador,Campus ambassadors,281,24,3,2,0,0,0,419.07,1,0
2026-06-22,CMP003,partner_webinar,Partner webinars,244,30,5,3,1,0,0,718.02,0,0
2026-06-22,CMP003,referral,Student referral loops,250,24,2,1,0,0,0,309.93,0,0
2026-06-22,CMP003,creator_content,Creator content,144,8,0,0,0,0,0,179.22,0,0
2026-06-22,CMP003,paid_social,Paid social,309,15,1,0,0,0,0,716.8,3,1
2026-06-22,CMP003,search_content,Search and explainer content,169,13,1,0,0,0,0,283.87,0,0
2026-06-22,CMP004,campus_ambassador,Campus ambassadors,261,21,3,2,0,0,0,395.05,0,4
2026-06-22,CMP004,partner_webinar,Partner webinars,427,49,11,9,5,1,0,1281.77,0,0
2026-06-22,CMP004,referral,Student referral loops,337,31,6,4,2,0,0,468.99,3,0
2026-06-22,CMP004,creator_content,Creator content,443,24,5,3,1,0,0,551.31,8,2
2026-06-22,CMP004,paid_social,Paid social,417,19,3,2,1,0,0,793.29,0,1
2026-06-22,CMP004,search_content,Search and explainer content,200,14,2,1,0,0,0,290.71,7,7
2026-06-22,CMP005,campus_ambassador,Campus ambassadors,600,50,14,11,5,2,1,919.45,5,0
2026-06-22,CMP005,partner_webinar,Partner webinars,570,68,17,12,4,1,0,2643.47,0,3
2026-06-22,CMP005,referral,Student referral loops,353,33,6,5,2,0,0,612.81,8,6
2026-06-22,CMP005,creator_content,Creator content,476,27,5,3,1,0,0,744.45,0,2
2026-06-22,CMP005,paid_social,Paid social,752,36,9,6,2,0,0,1798.14,0,4
2026-06-22,CMP005,search_content,Search and explainer content,657,49,10,7,3,1,0,1194.1,0,0
2026-06-22,CMP006,campus_ambassador,Campus ambassadors,364,30,6,4,1,0,0,730.37,0,2
2026-06-22,CMP006,partner_webinar,Partner webinars,610,74,13,10,4,1,0,2489.71,0,0
2026-06-22,CMP006,referral,Student referral loops,256,24,4,3,1,0,0,575.7,0,1
2026-06-22,CMP006,creator_content,Creator content,417,24,5,3,1,0,0,686.82,0,0
2026-06-22,CMP006,paid_social,Paid social,449,22,3,2,0,0,0,857.79,1,0
2026-06-22,CMP006,search_content,Search and explainer content,358,27,4,3,1,0,0,833.32,0,2
2026-06-22,CMP007,campus_ambassador,Campus ambassadors,1765,165,32,25,11,4,2,3289.57,5,1
2026-06-22,CMP007,partner_webinar,Partner webinars,780,105,18,13,6,2,1,3423.25,1,0
2026-06-22,CMP007,referral,Student referral loops,1159,124,23,17,8,3,1,1360.98,1,3
2026-06-22,CMP007,creator_content,Creator content,1271,82,15,11,5,2,0,1514.85,0,0
2026-06-22,CMP007,paid_social,Paid social,1430,78,12,10,4,1,0,2673.65,1,4
2026-06-22,CMP007,search_content,Search and explainer content,1556,132,25,21,10,3,1,2537.73,0,0
2026-06-22,CMP008,campus_ambassador,Campus ambassadors,1415,124,34,26,12,7,4,2958.71,2,1
2026-06-22,CMP008,partner_webinar,Partner webinars,706,89,19,13,7,3,2,3282.37,6,1
2026-06-22,CMP008,referral,Student referral loops,1560,157,31,25,14,8,5,2466.5,6,0
2026-06-22,CMP008,creator_content,Creator content,710,43,12,9,5,2,1,1487.5,1,0
2026-06-22,CMP008,paid_social,Paid social,689,35,7,5,2,1,0,1664.87,0,3
2026-06-22,CMP008,search_content,Search and explainer content,1211,96,27,21,10,6,3,2701.54,0,0
2026-06-22,CMP009,campus_ambassador,Campus ambassadors,574,48,7,5,2,0,0,896.28,0,0
2026-06-22,CMP009,partner_webinar,Partner webinars,800,97,12,9,4,1,0,2498.28,3,3
2026-06-22,CMP009,referral,Student referral loops,1040,101,20,15,7,2,1,1889.5,0,1
2026-06-22,CMP009,creator_content,Creator content,807,47,6,4,1,0,0,1103.01,5,0
2026-06-22,CMP009,paid_social,Paid social,501,24,3,2,0,0,0,1186.75,1,3
2026-06-22,CMP009,search_content,Search and explainer content,669,51,10,8,3,1,0,1269.11,6,2
2026-06-22,CMP010,campus_ambassador,Campus ambassadors,386,33,8,6,2,0,0,736.31,0,4
2026-06-22,CMP010,partner_webinar,Partner webinars,571,71,17,12,5,2,1,2045.45,0,0
2026-06-22,CMP010,referral,Student referral loops,514,51,10,7,2,1,0,957.34,1,0
2026-06-22,CMP010,creator_content,Creator content,439,26,5,3,1,0,0,884.2,0,0
2026-06-22,CMP010,paid_social,Paid social,551,28,5,4,1,0,0,1109.71,0,0
2026-06-22,CMP010,search_content,Search and explainer content,349,27,8,6,3,1,0,807.06,0,0
2026-06-22,CMP011,campus_ambassador,Campus ambassadors,811,71,24,20,11,6,3,1799.74,0,0
2026-06-22,CMP011,partner_webinar,Partner webinars,683,87,32,28,18,7,4,2391.49,6,0
2026-06-22,CMP011,referral,Student referral loops,1192,121,49,35,21,10,7,2270.77,4,4
2026-06-22,CMP011,creator_content,Creator content,682,41,12,9,5,2,0,1157.41,0,0
2026-06-22,CMP011,paid_social,Paid social,1029,53,12,9,4,1,0,1877.83,0,1
2026-06-22,CMP011,search_content,Search and explainer content,1027,82,30,23,12,6,3,1859.95,1,1
2026-06-22,CMP012,campus_ambassador,Campus ambassadors,371,30,7,6,3,1,0,514.48,0,0
2026-06-22,CMP012,partner_webinar,Partner webinars,670,79,23,18,10,4,2,2820.28,1,0
2026-06-22,CMP012,referral,Student referral loops,542,51,10,7,4,2,1,710.62,8,2
2026-06-22,CMP012,creator_content,Creator content,719,41,12,9,5,2,1,1453.04,0,0
2026-06-22,CMP012,paid_social,Paid social,743,35,7,5,2,0,0,1539.36,0,0
2026-06-22,CMP012,search_content,Search and explainer content,558,41,10,8,5,2,1,964.73,0,0
2026-06-22,CMP013,campus_ambassador,Campus ambassadors,270,27,10,8,4,2,1,772.73,4,1
2026-06-22,CMP013,partner_webinar,Partner webinars,295,42,15,12,7,4,2,1622.53,5,3
2026-06-22,CMP013,referral,Student referral loops,598,68,16,11,6,3,1,1503.9,0,0
2026-06-22,CMP013,creator_content,Creator content,588,40,11,8,3,1,0,1182.46,3,0
2026-06-22,CMP013,paid_social,Paid social,449,26,10,8,4,2,1,999.77,5,0
2026-06-22,CMP013,search_content,Search and explainer content,542,49,15,12,6,3,1,1425.93,0,1
2026-06-22,CMP014,campus_ambassador,Campus ambassadors,1438,132,27,21,13,7,4,3020.3,0,0
2026-06-22,CMP014,partner_webinar,Partner webinars,1752,233,59,47,27,13,8,10106.21,0,4
2026-06-22,CMP014,referral,Student referral loops,1826,193,55,47,30,18,11,3930.46,5,0
2026-06-22,CMP014,creator_content,Creator content,1442,92,21,17,9,5,2,3424.4,0,0
2026-06-22,CMP014,paid_social,Paid social,1630,88,25,21,12,7,2,5111.88,6,0
2026-06-22,CMP014,search_content,Search and explainer content,1391,116,33,24,14,8,4,2406.37,5,2
2026-06-22,CMP015,campus_ambassador,Campus ambassadors,505,41,10,7,3,1,0,903.01,1,0
2026-06-22,CMP015,partner_webinar,Partner webinars,594,70,11,8,3,1,0,2382.55,0,0
2026-06-22,CMP015,referral,Student referral loops,1001,94,14,11,5,2,1,1279.32,0,0
2026-06-22,CMP015,creator_content,Creator content,896,51,10,7,3,1,0,1335.19,3,0
2026-06-22,CMP015,paid_social,Paid social,765,37,5,4,2,0,0,1234.04,0,0
2026-06-22,CMP015,search_content,Search and explainer content,1030,77,13,9,5,2,0,1411.05,4,0
2026-06-22,CMP016,campus_ambassador,Campus ambassadors,343,30,7,5,2,0,0,565.82,0,0
2026-06-22,CMP016,partner_webinar,Partner webinars,585,75,13,11,5,2,1,2039.57,0,2
2026-06-22,CMP016,referral,Student referral loops,429,44,8,6,3,1,0,950.03,0,2
2026-06-22,CMP016,creator_content,Creator content,524,32,7,5,2,0,0,740.69,3,5
2026-06-22,CMP016,paid_social,Paid social,778,40,8,6,2,0,0,2066.08,0,5
2026-06-22,CMP016,search_content,Search and explainer content,682,55,14,11,4,1,0,1136.75,3,0
2026-06-22,CMP017,campus_ambassador,Campus ambassadors,1235,113,24,18,10,4,2,1912.74,0,0
2026-06-22,CMP017,partner_webinar,Partner webinars,1009,133,37,26,18,7,4,4528.73,8,2
2026-06-22,CMP017,referral,Student referral loops,1475,155,43,35,23,8,5,2559.33,1,0
2026-06-22,CMP017,creator_content,Creator content,2179,138,43,33,22,8,3,3996.48,4,0
2026-06-22,CMP017,paid_social,Paid social,766,41,13,10,6,3,1,2046.78,0,2
