experiment_id,campus_id,campus_name,channel_id,channel_name,hypothesis,incentive,expected_activations,expected_spend,expected_cac,impact_score,confidence_score,ease_score,risk_score,priority_score,decision,owner
EXP032,CMP014,Canyon State University,creator_content,Creator content,Creator explainers will reduce confusion around no-SSN credit access.,arrival checklist,18,516.71,28.71,97.1,86.8,54.4,20.3,18.2,Do not pursue,Product
EXP048,CMP020,Desert Valley University,campus_ambassador,Campus ambassadors,Student ambassador office hours will lift trust before arrival.,credit education,18,372.76,20.71,98,93.2,57.3,51.3,18.2,Do not pursue,Community
EXP023,CMP012,Pioneer STEM College,search_content,Search and explainer content,Search-led guides will capture users comparing banking options.,arrival checklist,18,396.44,22.02,93.5,83.4,58.7,23.2,18.1,Do not pursue,Community
EXP060,CMP023,Keystone International College,paid_social,Paid social,Paid social retargeting will recover students who dropped before KYC.,peer challenge,18,925.64,51.42,98,94,48.9,23.8,17.8,Do not pursue,Product
EXP069,CMP026,Magnolia Technical University,campus_ambassador,Campus ambassadors,Student ambassador office hours will lift trust before arrival.,credit education,18,413.45,22.97,98,87.4,52.4,42.6,17.8,Do not pursue,Community
EXP026,CMP013,Great Lakes Business Institute,creator_content,Creator content,Creator explainers will reduce confusion around no-SSN credit access.,credit education,18,527.25,29.29,98,94,48.0,20.1,17.5,Do not pursue,Community
EXP035,CMP015,Hudson Applied Sciences,creator_content,Creator content,Creator explainers will reduce confusion around no-SSN credit access.,fee waiver,18,400.63,22.26,98,77.1,58.2,44.0,17.4,Do not pursue,Growth
EXP015,CMP008,Summit Business School,search_content,Search and explainer content,Search-led guides will capture users comparing banking options.,cashback boost,18,486.37,27.02,98,81.4,54.9,27.1,17.3,Do not pursue,Community
EXP061,CMP024,Prairie Data University,search_content,Search and explainer content,Search-led guides will capture users comparing banking options.,fee waiver,18,548.15,30.45,91.7,74.5,63.6,35.9,17.2,Do not pursue,Product
EXP051,CMP021,Union Graduate School,creator_content,Creator content,Creator explainers will reduce confusion around no-SSN credit access.,fee waiver,18,631.41,35.08,96.1,79.0,57.0,34.1,17.1,Do not pursue,Product
EXP016,CMP008,Summit Business School,campus_ambassador,Campus ambassadors,Student ambassador office hours will lift trust before arrival.,office hours,18,418.29,23.24,98,80.3,54.0,39.5,16.8,Do not pursue,Product
EXP052,CMP021,Union Graduate School,campus_ambassador,Campus ambassadors,Student ambassador office hours will lift trust before arrival.,office hours,18,466.71,25.93,91.4,71.8,64.2,28.5,16.7,Do not pursue,Community
EXP025,CMP013,Great Lakes Business Institute,referral,Student referral loops,Peer referral credits will shorten the path from application to activation.,fee waiver,18,336.62,18.7,97.5,74.5,57.6,24.8,16.6,Do not pursue,Growth
EXP036,CMP015,Hudson Applied Sciences,partner_webinar,Partner webinars,Visa and housing partner webinars will convert high-intent applicants.,peer challenge,18,438.62,24.37,98,81.9,57.1,49.4,16.5,Do not pursue,Community
EXP044,CMP019,Queen City College,creator_content,Creator content,Creator explainers will reduce confusion around no-SSN credit access.,arrival checklist,18,368.87,20.49,87.3,88.6,53.8,28.2,16.5,Do not pursue,RevOps
EXP012,CMP007,Great Plains Tech,search_content,Search and explainer content,Search-led guides will capture users comparing banking options.,peer challenge,18,412.88,22.94,96.4,94,57.2,56.1,16.4,Do not pursue,Community
EXP064,CMP024,Prairie Data University,creator_content,Creator content,Creator explainers will reduce confusion around no-SSN credit access.,arrival checklist,18,618.09,34.34,98,89.1,47.2,33.3,16.3,Do not pursue,Growth
EXP020,CMP011,South Coast University,partner_webinar,Partner webinars,Visa and housing partner webinars will convert high-intent applicants.,peer challenge,18,587.43,32.63,84.3,81.4,57.7,12,15.7,Do not pursue,Growth
EXP033,CMP015,Hudson Applied Sciences,referral,Student referral loops,Peer referral credits will shorten the path from application to activation.,peer challenge,18,255.27,14.18,92.0,71.1,60.6,36.3,15.7,Do not pursue,RevOps
EXP040,CMP017,Riverbend University,paid_social,Paid social,Paid social retargeting will recover students who dropped before KYC.,arrival checklist,18,707.3,39.29,98,81.6,49.5,12,15.7,Do not pursue,Growth
EXP002,CMP001,Atlantic Gateway University,paid_social,Paid social,Paid social retargeting will recover students who dropped before KYC.,office hours,18,733.16,40.73,98,73.7,54.6,18.8,15.6,Do not pursue,Community
EXP031,CMP014,Canyon State University,paid_social,Paid social,Paid social retargeting will recover students who dropped before KYC.,arrival checklist,18,801.06,44.5,87.0,94,46.8,18.1,15.1,Do not pursue,Community
EXP037,CMP017,Riverbend University,search_content,Search and explainer content,Search-led guides will capture users comparing banking options.,cashback boost,18,546.96,30.39,66.9,91.4,60.8,19.9,14.7,Do not pursue,RevOps
EXP010,CMP007,Great Plains Tech,referral,Student referral loops,Peer referral credits will shorten the path from application to activation.,cashback boost,18,243.4,13.52,98,81.6,49.0,48.5,14.4,Do not pursue,Growth
EXP022,CMP012,Pioneer STEM College,paid_social,Paid social,Paid social retargeting will recover students who dropped before KYC.,peer challenge,18,801.84,44.55,98,76.9,46.8,28.9,14.0,Do not pursue,Product
EXP053,CMP022,Harbor Analytics Institute,paid_social,Paid social,Paid social retargeting will recover students who dropped before KYC.,arrival checklist,18,551.95,30.66,98,76.0,44.6,36.8,13.1,Do not pursue,RevOps
EXP066,CMP025,Redwood Professional School,creator_content,Creator content,Creator explainers will reduce confusion around no-SSN credit access.,peer challenge,18,657.0,36.5,98,93.3,36.0,22.6,13.1,Do not pursue,Product
EXP043,CMP019,Queen City College,paid_social,Paid social,Paid social retargeting will recover students who dropped before KYC.,credit education,18,616.78,34.27,90.0,89.5,40.8,32.3,13.0,Do not pursue,Growth
EXP065,CMP025,Redwood Professional School,paid_social,Paid social,Paid social retargeting will recover students who dropped before KYC.,credit education,18,883.89,49.1,98,92.4,33.2,20.9,11.9,Do not pursue,Community
EXP009,CMP007,Great Plains Tech,partner_webinar,Partner webinars,Visa and housing partner webinars will convert high-intent applicants.,credit education,18,487.07,27.06,98,74.9,42.6,52.2,10.7,Do not pursue,RevOps
EXP011,CMP007,Great Plains Tech,campus_ambassador,Campus ambassadors,Student ambassador office hours will lift trust before arrival.,cashback boost,18,281.07,15.61,98,77.4,48.2,68.3,9.5,Do not pursue,Product
EXP072,CMP026,Magnolia Technical University,paid_social,Paid social,Paid social retargeting will recover students who dropped before KYC.,arrival checklist,18,862.77,47.93,98,78.3,33.3,48.4,9.4,Do not pursue,RevOps
